RANK_assists_2016,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
1,Rajon Rondo,SAC,41,35.0,477,11.6,158,3.9,15.9,3.02
2,Russell Westbrook,OKC,45,33.8,439,9.8,191,4.2,13.9,2.30
3,John Wall,WSH,41,35.7,396,9.7,179,4.4,13.0,2.21
4,Chris Paul,LAC,38,32.3,367,9.7,105,2.8,14.3,3.50
5,Ricky Rubio,MIN,39,30.2,334,8.6,95,2.4,13.6,3.52
6,Jarrett Jack,BKN,32,32.1,236,7.4,94,2.9,11.0,2.51
7,Draymond Green,GS,43,34.6,314,7.3,119,2.8,10.1,2.64
8,Damian Lillard,POR,39,36.2,270,6.9,130,3.3,9.2,2.08
9,James Harden,HOU,45,37.4,310,6.9,207,4.6,8.8,1.50
10,Isaiah Thomas,BOS,44,32.7,294,6.7,120,2.7,9.8,2.45
11,Reggie Jackson,DET,44,31.0,291,6.6,124,2.8,10.3,2.35
12,Ish Smith,NO/PHI,40,25.7,264,6.6,83,2.1,12.4,3.18
13,Stephen Curry,GS,42,33.9,277,6.6,141,3.4,9.3,1.96
14,Kyle Lowry,TOR,43,36.5,277,6.4,129,3.0,8.5,2.15
15,LeBron James,CLE,41,35.8,255,6.2,132,3.2,8.3,1.93
16,Elfrid Payton,ORL,38,29.5,229,6.0,94,2.5,9.8,2.44
17,Mike Conley,MEM,39,31.5,227,5.8,57,1.5,8.9,3.98
18,Michael Carter-Williams,MIL,41,30.8,229,5.6,118,2.9,8.7,1.94
19,Deron Williams,DAL,37,32.5,206,5.6,90,2.4,8.2,2.29
20,Jeff Teague,ATL,42,28.4,229,5.5,112,2.7,9.2,2.04
21,Nicolas Batum,CHA,37,34.8,201,5.4,114,3.1,7.5,1.76
22,Brandon Knight,PHX,42,36.3,215,5.1,145,3.5,6.8,1.48
23,Jrue Holiday,NO,37,25.0,189,5.1,78,2.1,9.8,2.42
24,Jameer Nelson,DEN,36,27.6,183,5.1,64,1.8,8.8,2.86
25,Tony Parker,SA,40,27.1,203,5.1,64,1.6,9.0,3.17
26,Goran Dragic,MIA,37,32.5,186,5.0,92,2.5,7.4,2.02
27,Kemba Walker,CHA,44,35.9,221,5.0,95,2.2,6.7,2.33
28,Monta Ellis,IND,44,33.3,218,5.0,119,2.7,7.1,1.83
29,T.J. McConnell,PHI,44,21.3,216,4.9,89,2.0,11.0,2.43
30,Matthew Dellavedova,CLE,41,27.1,197,4.8,61,1.5,8.5,3.23
31,Dennis Schroder,ATL,43,21.5,204,4.7,92,2.1,10.6,2.22
32,Derrick Rose,CHI,37,32.6,171,4.6,99,2.7,6.8,1.73
33,Dwyane Wade,MIA,41,30.1,186,4.5,108,2.6,7.2,1.72
34,Kevin Durant,OKC,38,35.5,170,4.5,112,2.9,6.0,1.52
35,C.J. McCollum,POR,44,35.3,191,4.3,99,2.3,5.9,1.93
36,Darren Collison,SAC,38,28.5,161,4.2,70,1.8,7.1,2.30
37,Jimmy Butler,CHI,43,38.2,180,4.2,89,2.1,5.3,2.02
38,DeMar DeRozan,TOR,43,36.6,179,4.2,98,2.3,5.5,1.83
39,Ty Lawson,HOU,38,24.6,154,4.1,67,1.8,7.9,2.30
40,J.J. Barea,DAL,39,21.6,157,4.0,66,1.7,9.0,2.38
41,Carmelo Anthony,NY,42,34.6,169,4.0,104,2.5,5.6,1.63
42,Jose Calderon,NY,46,27.9,184,4.0,52,1.1,6.9,3.54
43,Evan Turner,BOS,44,26.8,176,4.0,93,2.1,7.2,1.89
44,Khris Middleton,MIL,46,36.0,183,4.0,86,1.9,5.3,2.13
45,Victor Oladipo,ORL,38,30.3,150,3.9,84,2.2,6.2,1.79
46,Paul George,IND,44,35.4,168,3.8,166,3.8,5.2,1.01
47,Marc Gasol,MEM,45,35.0,170,3.8,106,2.4,5.2,1.60
48,Mario Chalmers,MIA/MEM,42,22.3,156,3.7,79,1.9,8.0,1.97
49,Shane Larkin,BKN,40,20.3,147,3.7,65,1.6,8.7,2.26
50,Joe Johnson,BKN,44,34.2,159,3.6,80,1.8,5.1,1.99
51,Gordon Hayward,UTAH,43,35.6,154,3.6,112,2.6,4.8,1.38
52,Paul Millsap,ATL,44,32.8,153,3.5,102,2.3,5.1,1.50
53,Kobe Bryant,LAL,38,29.1,132,3.5,87,2.3,5.7,1.52
54,Raymond Felton,DAL,44,26.5,151,3.4,70,1.6,6.2,2.16
55,Andre Iguodala,GS,44,27.6,150,3.4,54,1.2,5.9,2.78
56,D'Angelo Russell,LAL,44,27.0,150,3.4,105,2.4,6.1,1.43
57,Manu Ginobili,SA,38,19.8,129,3.4,63,1.7,8.2,2.05
58,George Hill,IND,37,35.0,117,3.2,56,1.5,4.3,2.09
59,Pau Gasol,CHI,41,31.5,129,3.1,81,2.0,4.8,1.59
60,Zach LaVine,MIN,45,23.0,141,3.1,88,2.0,6.5,1.60
61,Jeremy Lin,CHA,42,27.1,129,3.1,79,1.9,5.4,1.63
62,Al Horford,ATL,45,31.5,134,3.0,59,1.3,4.5,2.27
63,Ramon Sessions,WSH,41,21.3,122,3.0,55,1.3,6.7,2.22
64,Tim Duncan,SA,37,25.9,110,3.0,63,1.7,5.5,1.75
65,Cory Joseph,TOR,43,25.8,127,3.0,57,1.3,5.5,2.23
66,Shaun Livingston,GS,41,19.9,118,2.9,34,0.8,6.9,3.47
67,Mason Plumlee,POR,46,26.1,129,2.8,94,2.0,5.2,1.37
68,Giannis Antetokounmpo,MIL,44,34.1,122,2.8,110,2.5,3.9,1.11
69,Beno Udrih,MIA/MEM,32,15.3,88,2.8,32,1.0,8.6,2.75
70,Nikola Vucevic,ORL,39,31.1,107,2.7,67,1.7,4.2,1.60
71,DeMarcus Cousins,SAC,35,33.7,96,2.7,123,3.5,3.9,0.78
72,Eric Gordon,NO,41,33.4,110,2.7,65,1.6,3.9,1.69
73,Louis Williams,LAL,44,29.2,118,2.7,70,1.6,4.4,1.69
74,Trey Burke,UTAH,43,24.6,114,2.7,60,1.4,5.2,1.90
75,Rodney Stuckey,IND,33,25.0,87,2.6,48,1.5,5.1,1.81
76,Evan Fournier,ORL,42,31.9,110,2.6,64,1.5,3.9,1.72
77,Rodney Hood,UTAH,41,30.5,107,2.6,67,1.6,4.1,1.60
78,Kawhi Leonard,SA,42,32.8,108,2.6,56,1.3,3.8,1.93
79,Patrick Beverley,HOU,34,25.6,86,2.5,45,1.3,4.7,1.91
80,Danilo Gallinari,DEN,38,34.5,96,2.5,50,1.3,3.5,1.92
81,Boris Diaw,SA,44,19.1,111,2.5,58,1.3,6.3,1.91
82,Chandler Parsons,DAL,37,26.6,90,2.4,52,1.4,4.4,1.73
83,Patty Mills,SA,44,20.3,107,2.4,37,0.8,5.8,2.89
84,Will Barton,DEN,44,29.0,107,2.4,70,1.6,4.0,1.53
85,Chris Bosh,MIA,44,33.6,106,2.4,61,1.4,3.4,1.74
86,Klay Thompson,GS,42,32.9,101,2.4,78,1.9,3.5,1.29
87,Kent Bazemore,ATL,40,28.3,96,2.4,67,1.7,4.1,1.43
88,Jordan Clarkson,LAL,44,32.0,104,2.4,80,1.8,3.5,1.30
89,Kevin Love,CLE,42,32.4,99,2.4,86,2.0,3.5,1.15
90,Raul Neto,UTAH,42,19.3,99,2.4,58,1.4,5.9,1.71
91,Jerian Grant,NY,43,15.8,101,2.3,47,1.1,7.1,2.15
92,Greg Monroe,MIL,44,30.3,103,2.3,75,1.7,3.7,1.37
93,Aaron Brooks,CHI,33,15.8,77,2.3,33,1.0,7.1,2.33
94,Langston Galloway,NY,46,24.0,101,2.2,32,0.7,4.4,3.16
95,Tyler Johnson,MIA,34,24.0,74,2.2,44,1.3,4.3,1.68
96,Tobias Harris,ORL,42,33.1,91,2.2,66,1.6,3.1,1.38
97,Jared Sullinger,BOS,43,24.1,92,2.1,58,1.3,4.3,1.59
98,Randy Foye,DEN,44,19.9,94,2.1,48,1.1,5.2,1.96
99,Otto Porter Jr.,WSH,34,32.1,72,2.1,41,1.2,3.2,1.76
100,Kyle Korver,ATL,43,30.5,91,2.1,60,1.4,3.3,1.52
101,Jamal Crawford,LAC,43,25.6,90,2.1,59,1.4,3.9,1.53
102,Marcus Morris,DET,43,36.4,90,2.1,78,1.8,2.8,1.15
103,Devin Harris,DAL,39,19.8,81,2.1,36,0.9,5.0,2.25
104,Avery Bradley,BOS,39,32.6,80,2.1,58,1.5,3.0,1.38
105,Marco Belinelli,SAC,43,25.6,87,2.0,57,1.3,3.8,1.53
106,Dion Waiters,OKC,45,26.9,91,2.0,72,1.6,3.6,1.26
107,Shabazz Napier,ORL,36,12.1,72,2.0,36,1.0,7.9,2.00
108,Spencer Hawes,CHA,38,17.8,75,2.0,38,1.0,5.3,1.97
109,Andrew Bogut,GS,37,20.9,71,1.9,43,1.2,4.4,1.65
110,Jeff Green,MEM,45,28.6,86,1.9,62,1.4,3.2,1.39
111,Jae Crowder,BOS,44,32.5,84,1.9,62,1.4,2.8,1.35
112,Kentavious Caldwell-Pope,DET,44,37.5,84,1.9,63,1.4,2.4,1.33
113,D.J. Augustin,OKC,32,15.4,61,1.9,29,0.9,5.9,2.10
114,Jared Dudley,WSH,40,28.9,76,1.9,36,0.9,3.2,2.11
115,Zaza Pachulia,DAL,43,29.2,81,1.9,80,1.9,3.1,1.01
116,Isaiah Canaan,PHI,43,25.1,81,1.9,59,1.4,3.6,1.37
117,Garrett Temple,WSH,39,24.5,73,1.9,27,0.7,3.7,2.70
118,Trevor Ariza,HOU,44,34.2,82,1.9,62,1.4,2.6,1.32
119,Dirk Nowitzki,DAL,41,30.8,76,1.9,45,1.1,2.9,1.69
120,Gary Harris,DEN,38,30.4,70,1.8,53,1.4,2.9,1.32
121,Andrew Wiggins,MIN,44,34.9,81,1.8,99,2.3,2.5,0.82
122,Arron Afflalo,NY,38,33.0,69,1.8,37,1.0,2.6,1.86
123,Nik Stauskas,PHI,38,23.6,69,1.8,46,1.2,3.7,1.50
124,Danny Green,SA,44,25.1,79,1.8,48,1.1,3.4,1.65
125,Anthony Davis,NO,38,35.7,68,1.8,80,2.1,2.4,0.85
126,David West,SA,43,16.7,75,1.7,38,0.9,5.0,1.97
127,Ronnie Price,PHX,34,14.8,59,1.7,26,0.8,5.6,2.27
128,Wesley Matthews,DAL,41,33.0,71,1.7,44,1.1,2.5,1.61
129,Rudy Gay,SAC,39,34.0,67,1.7,69,1.8,2.4,0.97
130,Matt Barnes,MEM,42,26.7,72,1.7,53,1.3,3.1,1.36
131,Nikola Jokic,DEN,42,19.0,72,1.7,52,1.2,4.3,1.38
132,Amir Johnson,BOS,41,23.9,67,1.6,50,1.2,3.3,1.34
133,Kevin Garnett,MIN,38,14.6,62,1.6,16,0.4,5.4,3.88
134,P.J. Tucker,PHX,45,28.4,73,1.6,50,1.1,2.7,1.46
135,Julius Randle,LAL,45,26.6,73,1.6,78,1.7,2.9,0.94
136,Marcin Gortat,WSH,35,31.8,56,1.6,67,1.9,2.4,0.84
137,Kelly Olynyk,BOS,43,20.9,68,1.6,53,1.2,3.6,1.28
138,Robert Covington,PHI,35,26.2,55,1.6,83,2.4,2.9,0.66
139,Brook Lopez,BKN,44,33.4,69,1.6,101,2.3,2.3,0.68
140,Thaddeus Young,BKN,44,32.2,68,1.5,82,1.9,2.3,0.83
141,Al-Farouq Aminu,POR,46,29.1,71,1.5,75,1.6,2.5,0.95
142,Luol Deng,MIA,37,31.2,57,1.5,34,0.9,2.4,1.68
143,J.J. Redick,LAC,39,27.7,60,1.5,41,1.1,2.7,1.46
144,J.R. Smith,CLE,38,29.9,58,1.5,30,0.8,2.4,1.93
145,Robin Lopez,NY,46,25.1,70,1.5,74,1.6,2.9,0.95
146,Dwight Howard,HOU,37,32.5,56,1.5,90,2.4,2.2,0.62
147,Thabo Sefolosha,ATL,39,24.3,59,1.5,36,0.9,3.0,1.64
148,Meyers Leonard,POR,39,23.3,59,1.5,47,1.2,3.1,1.26
149,Lance Stephenson,LAC,35,15.8,52,1.5,39,1.1,4.5,1.33
150,Zach Randolph,MEM,40,28.6,59,1.5,56,1.4,2.5,1.05
151,Omri Casspi,SAC,38,30.0,56,1.5,63,1.7,2.4,0.89
152,Corey Brewer,HOU,45,20.1,66,1.5,46,1.0,3.5,1.43
153,Josh Smith,HOU/LAC,33,14.5,48,1.5,43,1.3,4.8,1.12
154,Leandro Barbosa,GS,31,14.4,45,1.5,31,1.0,4.8,1.45
155,Jabari Parker,MIL,40,27.8,58,1.5,39,1.0,2.5,1.49
156,Roy Hibbert,LAL,46,25.2,66,1.4,54,1.2,2.7,1.22
157,Courtney Lee,MEM,43,29.4,61,1.4,40,0.9,2.3,1.53
158,Marvin Williams,CHA,44,29.4,62,1.4,32,0.7,2.3,1.94
159,Jason Terry,HOU,38,17.2,53,1.4,28,0.7,3.9,1.89
160,Nemanja Bjelica,MIN,39,18.8,54,1.4,29,0.7,3.5,1.86
161,Austin Rivers,LAC,40,22.0,55,1.4,33,0.8,3.0,1.67
162,Nikola Mirotic,CHI,43,24.1,59,1.4,65,1.5,2.7,0.91
163,Marcus Thornton,HOU,38,19.6,52,1.4,32,0.8,3.4,1.63
164,Nerlens Noel,PHI,38,29.3,51,1.3,92,2.4,2.2,0.55
165,Stanley Johnson,DET,44,22.3,59,1.3,62,1.4,2.9,0.95
166,Frank Kaminsky III,CHA,43,21.3,57,1.3,34,0.8,3.0,1.68
167,LaMarcus Aldridge,SA,40,29.6,53,1.3,55,1.4,2.2,0.96
168,Jon Leuer,PHX,41,20.8,54,1.3,51,1.2,3.0,1.06
169,Jeremy Lamb,CHA,38,21.7,50,1.3,34,0.9,2.9,1.47
170,Karl-Anthony Towns,MIN,45,29.3,59,1.3,94,2.1,2.1,0.63
