RANK_blocks_2016,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP48M,BLK/PF
1,Hassan Whiteside,MIA,41,28.9,158,99,3.85,6.41,1.60
2,Anthony Davis,NO,38,35.7,94,93,2.47,3.32,1.01
3,DeAndre Jordan,LAC,41,33.2,93,117,2.27,3.28,0.79
4,Serge Ibaka,OKC,45,32.6,100,118,2.22,3.28,0.85
5,Pau Gasol,CHI,41,31.5,88,82,2.15,3.27,1.07
6,Kristaps Porzingis,NY,46,28.2,90,134,1.96,3.33,0.67
7,John Henson,MIL,41,16.7,79,94,1.93,5.55,0.84
8,Brook Lopez,BKN,44,33.4,82,133,1.86,2.68,0.62
9,Karl-Anthony Towns,MIN,45,29.3,80,140,1.78,2.91,0.57
10,Andrew Bogut,GS,37,20.9,63,113,1.70,3.90,0.56
11,Roy Hibbert,LAL,46,25.2,75,148,1.63,3.10,0.51
12,Jerami Grant,PHI,42,25.6,68,121,1.62,3.03,0.56
13,Dwight Howard,HOU,37,32.5,59,118,1.59,2.35,0.50
14,Bismack Biyombo,TOR,43,22.8,67,121,1.56,3.28,0.55
15,Nerlens Noel,PHI,38,29.3,59,93,1.55,2.54,0.63
16,Andre Drummond,DET,44,33.8,65,137,1.48,2.10,0.47
17,Al Horford,ATL,45,31.5,66,84,1.47,2.24,0.79
18,Robin Lopez,NY,46,25.1,63,119,1.37,2.62,0.53
19,Paul Millsap,ATL,44,32.8,60,133,1.36,2.00,0.45
20,Tim Duncan,SA,37,25.9,49,88,1.32,2.45,0.56
21,Marcin Gortat,WSH,35,31.8,46,87,1.31,1.99,0.53
22,Jeff Withey,UTAH,35,15.5,46,58,1.31,4.08,0.79
23,Marc Gasol,MEM,45,35.0,59,126,1.31,1.80,0.47
24,Draymond Green,GS,43,34.6,56,123,1.30,1.81,0.46
25,DeMarcus Cousins,SAC,35,33.7,45,135,1.29,1.83,0.33
26,Festus Ezeli,GS,39,17.9,49,91,1.26,3.36,0.54
27,Clint Capela,HOU,44,21.6,54,111,1.23,2.72,0.49
28,Kevin Durant,OKC,38,35.5,46,60,1.21,1.64,0.77
29,Steven Adams,OKC,44,24.3,53,121,1.20,2.38,0.44
30,Amir Johnson,BOS,41,23.9,48,117,1.17,2.35,0.41
31,Giannis Antetokounmpo,MIL,44,34.1,51,156,1.16,1.63,0.33
32,Jahlil Okafor,PHI,40,30.9,45,97,1.13,1.75,0.46
33,Josh Smith,HOU/LAC,33,14.5,37,66,1.12,3.70,0.56
34,Kenneth Faried,DEN,37,26.5,39,96,1.05,1.91,0.41
35,Nikola Vucevic,ORL,39,31.1,41,96,1.05,1.62,0.43
36,Marvin Williams,CHA,44,29.4,46,69,1.05,1.71,0.67
37,Gorgui Dieng,MIN,45,23.7,47,116,1.04,2.11,0.41
38,Ian Mahinmi,IND,39,23.8,40,125,1.03,2.06,0.32
39,Taj Gibson,CHI,43,25.3,43,100,1.00,1.89,0.43
40,Kosta Koufos,SAC,42,20.6,39,110,0.93,2.16,0.35
41,Kawhi Leonard,SA,42,32.8,39,77,0.93,1.36,0.51
42,Mason Plumlee,POR,46,26.1,42,141,0.91,1.68,0.30
43,Greg Monroe,MIL,44,30.3,40,97,0.91,1.44,0.41
44,LaMarcus Aldridge,SA,40,29.6,36,86,0.90,1.46,0.42
45,Terrence Jones,HOU,39,23.4,35,75,0.90,1.84,0.47
46,Brandon Bass,LAL,38,18.0,34,63,0.89,2.39,0.54
47,Alex Len,PHX,42,19.2,37,106,0.88,2.21,0.35
48,Timofey Mozgov,CLE,39,17.9,31,82,0.79,2.13,0.38
49,Klay Thompson,GS,42,32.9,32,82,0.76,1.11,0.39
50,Danny Green,SA,44,25.1,33,62,0.75,1.43,0.53
51,Ed Davis,POR,45,21.1,33,117,0.73,1.67,0.28
52,Darrell Arthur,DEN,41,21.1,30,104,0.73,1.66,0.29
53,John Wall,WSH,41,35.7,30,86,0.73,0.98,0.35
54,Michael Carter-Williams,MIL,41,30.8,30,114,0.73,1.14,0.26
55,Chris Bosh,MIA,44,33.6,32,76,0.73,1.04,0.42
56,Jimmy Butler,CHI,43,38.2,31,85,0.72,0.91,0.36
57,Matt Barnes,MEM,42,26.7,30,129,0.71,1.28,0.23
58,Cody Zeller,CHA,40,24.8,28,119,0.70,1.36,0.24
59,Al-Farouq Aminu,POR,46,29.1,32,103,0.70,1.15,0.31
60,Rudy Gay,SAC,39,34.0,27,100,0.69,0.98,0.27
61,Richaun Holmes,PHI,32,14.0,22,54,0.69,2.35,0.41
62,LeBron James,CLE,41,35.8,28,79,0.68,0.92,0.35
63,Andre Roberson,OKC,44,21.9,30,81,0.68,1.50,0.37
64,Jason Smith,ORL,37,14.9,25,76,0.68,2.17,0.33
65,Jared Sullinger,BOS,43,24.1,29,118,0.67,1.34,0.25
66,Kelly Olynyk,BOS,43,20.9,29,107,0.67,1.55,0.27
67,Aaron Gordon,ORL,41,19.6,27,76,0.66,1.61,0.36
68,Nikola Mirotic,CHI,43,24.1,28,90,0.65,1.30,0.31
69,Jeremy Lin,CHA,42,27.1,27,99,0.64,1.14,0.27
70,Tobias Harris,ORL,42,33.1,27,81,0.64,0.93,0.33
71,Kemba Walker,CHA,44,35.9,28,63,0.64,0.85,0.44
72,Dirk Nowitzki,DAL,41,30.8,26,73,0.63,0.99,0.36
73,Victor Oladipo,ORL,38,30.3,24,86,0.63,1.00,0.28
74,Robert Covington,PHI,35,26.2,22,118,0.63,1.15,0.19
75,James Harden,HOU,45,37.4,28,124,0.62,0.80,0.23
76,Tyson Chandler,PHX,36,23.1,22,72,0.61,1.27,0.31
77,David West,SA,43,16.7,26,75,0.60,1.74,0.35
78,Ersan Ilyasova,DET,44,28.0,26,103,0.59,1.01,0.25
79,Kyle O'Quinn,NY,36,11.7,21,65,0.58,2.39,0.32
80,Frank Kaminsky III,CHA,43,21.3,25,68,0.58,1.31,0.37
81,Kyle Lowry,TOR,43,36.5,24,116,0.56,0.73,0.21
82,Wesley Johnson,LAC,43,17.9,24,78,0.56,1.49,0.31
83,Monta Ellis,IND,44,33.3,24,93,0.55,0.79,0.26
84,Jae Crowder,BOS,44,32.5,24,115,0.55,0.81,0.21
85,Andrew Wiggins,MIN,44,34.9,24,93,0.55,0.75,0.26
86,Thabo Sefolosha,ATL,39,24.3,21,58,0.54,1.06,0.36
87,Lavoy Allen,IND,43,21.7,23,79,0.53,1.19,0.29
88,Carmelo Anthony,NY,42,34.6,22,101,0.52,0.73,0.22
89,Kevin Love,CLE,42,32.4,22,86,0.52,0.78,0.26
90,Nikola Jokic,DEN,42,19.0,22,93,0.52,1.32,0.24
91,Alexis Ajinca,NO,33,12.4,17,72,0.52,2.00,0.24
92,James Johnson,TOR,35,15.3,18,43,0.51,1.61,0.42
93,C.J. Miles,IND,39,26.5,20,93,0.51,0.93,0.22
94,Thomas Robinson,BKN,39,9.9,20,44,0.51,2.49,0.45
95,Aron Baynes,DET,43,14.2,22,81,0.51,1.73,0.27
96,Dwight Powell,DAL,43,17.3,21,93,0.49,1.36,0.23
97,Trevor Booker,UTAH,41,23.2,20,102,0.49,1.01,0.20
98,Nicolas Batum,CHA,37,34.8,18,65,0.49,0.67,0.28
99,Kyle Korver,ATL,43,30.5,20,86,0.47,0.73,0.23
100,Channing Frye,ORL,37,18.0,17,59,0.46,1.22,0.29
101,Kent Bazemore,ATL,40,28.3,18,91,0.45,0.76,0.20
