RANK_rebounds_2016,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP48
1,Andre Drummond,DET,44,33.8,237,5.4,439,10.0,676,15.4,21.8
2,DeAndre Jordan,LAC,41,33.2,148,3.6,399,9.7,547,13.3,19.3
3,Dwight Howard,HOU,37,32.5,134,3.6,313,8.5,447,12.1,17.8
4,DeMarcus Cousins,SAC,35,33.7,88,2.5,311,8.9,399,11.4,16.2
5,Hassan Whiteside,MIA,41,28.9,128,3.1,331,8.1,459,11.2,18.6
6,Kevin Love,CLE,42,32.4,99,2.4,357,8.5,456,10.9,16.1
7,Pau Gasol,CHI,41,31.5,95,2.3,346,8.4,441,10.8,16.4
8,Zaza Pachulia,DAL,43,29.2,158,3.7,303,7.0,461,10.7,17.6
9,Anthony Davis,NO,38,35.7,77,2.0,313,8.2,390,10.3,13.8
10,Marcin Gortat,WSH,35,31.8,101,2.9,246,7.0,347,9.9,15.0
11,Greg Monroe,MIL,44,30.3,132,3.0,298,6.8,430,9.8,15.5
12,Karl-Anthony Towns,MIN,45,29.3,117,2.6,319,7.1,436,9.7,15.9
13,Julius Randle,LAL,45,26.6,102,2.3,329,7.3,431,9.6,17.3
14,Draymond Green,GS,43,34.6,77,1.8,333,7.7,410,9.5,13.2
15,Tristan Thompson,CLE,42,27.2,136,3.2,257,6.1,393,9.4,16.5
16,Kenneth Faried,DEN,37,26.5,136,3.7,195,5.3,331,8.9,16.2
17,Thaddeus Young,BKN,44,32.2,115,2.6,278,6.3,393,8.9,13.3
18,LaMarcus Aldridge,SA,40,29.6,103,2.6,252,6.3,355,8.9,14.4
19,Paul Millsap,ATL,44,32.8,111,2.5,276,6.3,387,8.8,12.9
20,Jared Sullinger,BOS,43,24.1,107,2.5,267,6.2,374,8.7,17.3
21,Nikola Vucevic,ORL,39,31.1,112,2.9,222,5.7,334,8.6,13.2
22,Bismack Biyombo,TOR,43,22.8,102,2.4,257,6.0,359,8.3,17.6
23,Brook Lopez,BKN,44,33.4,128,2.9,237,5.4,365,8.3,11.9
24,Tyson Chandler,PHX,36,23.1,92,2.6,206,5.7,298,8.3,17.2
25,Nerlens Noel,PHI,38,29.3,84,2.2,230,6.1,314,8.3,13.5
26,Zach Randolph,MEM,40,28.6,119,3.0,202,5.1,321,8.0,13.5
27,Kristaps Porzingis,NY,46,28.2,95,2.1,265,5.8,360,7.8,13.3
28,Mason Plumlee,POR,46,26.1,125,2.7,234,5.1,359,7.8,14.4
29,Chris Bosh,MIA,44,33.6,42,1.0,296,6.7,338,7.7,11.0
30,Kevin Durant,OKC,38,35.5,16,0.4,275,7.2,291,7.7,10.3
31,Tim Duncan,SA,37,25.9,64,1.7,215,5.8,279,7.5,14.0
32,Carmelo Anthony,NY,42,34.6,63,1.5,251,6.0,314,7.5,10.4
33,Enes Kanter,OKC,45,20.4,129,2.9,207,4.6,336,7.5,17.5
34,Jahlil Okafor,PHI,40,30.9,92,2.3,203,5.1,295,7.4,11.5
35,Ed Davis,POR,45,21.1,134,3.0,196,4.4,330,7.3,16.7
36,LeBron James,CLE,41,35.8,51,1.2,247,6.0,298,7.3,9.8
37,Al Horford,ATL,45,31.5,99,2.2,227,5.0,326,7.2,11.0
38,Paul George,IND,44,35.4,40,0.9,278,6.3,318,7.2,9.8
39,Marc Gasol,MEM,45,35.0,55,1.2,269,6.0,324,7.2,9.9
40,Andrew Bogut,GS,37,20.9,66,1.8,200,5.4,266,7.2,16.5
41,Clint Capela,HOU,44,21.6,122,2.8,194,4.4,316,7.2,15.9
42,Tobias Harris,ORL,42,33.1,60,1.4,241,5.7,301,7.2,10.4
43,Giannis Antetokounmpo,MIL,44,34.1,63,1.4,252,5.7,315,7.2,10.1
44,Russell Westbrook,OKC,45,33.8,76,1.7,245,5.4,321,7.1,10.1
45,Jordan Hill,IND,40,21.7,102,2.6,183,4.6,285,7.1,15.8
46,Ian Mahinmi,IND,39,23.8,80,2.1,197,5.1,277,7.1,14.3
47,Taj Gibson,CHI,43,25.3,124,2.9,179,4.2,303,7.0,13.3
48,Kawhi Leonard,SA,42,32.8,54,1.3,234,5.6,288,6.9,10.0
49,Rudy Gay,SAC,39,34.0,63,1.6,204,5.2,267,6.8,9.7
50,Dirk Nowitzki,DAL,41,30.8,31,0.8,246,6.0,277,6.8,10.5
51,Trevor Booker,UTAH,41,23.2,110,2.7,165,4.0,275,6.7,13.9
52,Marvin Williams,CHA,44,29.4,67,1.5,227,5.2,294,6.7,10.9
53,Serge Ibaka,OKC,45,32.6,81,1.8,219,4.9,300,6.7,9.8
54,Rajon Rondo,SAC,41,35.0,50,1.2,217,5.3,267,6.5,8.9
55,Al-Farouq Aminu,POR,46,29.1,54,1.2,244,5.3,298,6.5,10.7
56,Omri Casspi,SAC,38,30.0,32,0.8,213,5.6,245,6.4,10.3
57,Gorgui Dieng,MIN,45,23.7,73,1.6,217,4.8,290,6.4,13.0
58,Steven Adams,OKC,44,24.3,110,2.5,169,3.8,279,6.3,12.5
59,Nicolas Batum,CHA,37,34.8,35,0.9,197,5.3,232,6.3,8.6
60,Amir Johnson,BOS,41,23.9,85,2.1,168,4.1,253,6.2,12.4
61,Will Barton,DEN,44,29.0,41,0.9,226,5.1,267,6.1,10.0
62,James Harden,HOU,45,37.4,36,0.8,235,5.2,271,6.0,7.7
63,Robin Lopez,NY,46,25.1,117,2.5,160,3.5,277,6.0,11.5
64,Kosta Koufos,SAC,42,20.6,102,2.4,150,3.6,252,6.0,14.0
65,Ryan Anderson,NO,41,31.3,78,1.9,167,4.1,245,6.0,9.2
66,Cody Zeller,CHA,40,24.8,73,1.8,163,4.1,236,5.9,11.4
67,Festus Ezeli,GS,39,17.9,82,2.1,147,3.8,229,5.9,15.7
68,Alex Len,PHX,42,19.2,73,1.7,173,4.1,246,5.9,14.7
69,Nikola Mirotic,CHI,43,24.1,40,0.9,210,4.9,250,5.8,11.6
70,Danilo Gallinari,DEN,38,34.5,42,1.1,176,4.6,218,5.7,8.0
71,Jon Leuer,PHX,41,20.8,42,1.0,191,4.7,233,5.7,13.1
72,P.J. Tucker,PHX,45,28.4,75,1.7,179,4.0,254,5.6,9.5
73,Luis Scola,TOR,43,23.5,62,1.4,180,4.2,242,5.6,11.5
74,Roy Hibbert,LAL,46,25.2,79,1.7,179,3.9,258,5.6,10.7
75,Otto Porter Jr.,WSH,34,32.1,47,1.4,143,4.2,190,5.6,8.4
76,Ersan Ilyasova,DET,44,28.0,89,2.0,154,3.5,243,5.5,9.5
