RANK_scoring-per-game_2015,PLAYER,TEAM,GP,MPG,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%
1,Russell Westbrook,OKC,67,34.4,28.1,9.4-22.0,.426,1.3-4.3,.299,8.1-9.8,.835
2,James Harden,HOU,81,36.8,27.4,8.0-18.1,.440,2.6-6.9,.375,8.8-10.2,.868
3,LeBron James,CLE,69,36.1,25.3,9.0-18.5,.488,1.7-4.9,.354,5.4-7.7,.710
4,Anthony Davis,NO,68,36.1,24.4,9.4-17.6,.535,0.0-0.2,.083,5.5-6.8,.805
5,DeMarcus Cousins,SAC,59,34.1,24.1,8.4-18.1,.467,0.0-0.1,.250,7.2-9.2,.782
6,Stephen Curry,GS,80,32.7,23.8,8.2-16.8,.487,3.6-8.1,.443,3.9-4.2,.914
7,LaMarcus Aldridge,POR,71,35.4,23.4,9.3-19.9,.466,0.5-1.5,.352,4.3-5.1,.845
8,Blake Griffin,LAC,67,35.2,21.9,8.6-17.1,.502,0.1-0.4,.400,4.6-6.4,.728
9,Kyrie Irving,CLE,75,36.4,21.7,7.7-16.5,.468,2.1-5.0,.415,4.2-4.9,.863
10,Klay Thompson,GS,77,31.9,21.7,7.8-16.9,.463,3.1-7.1,.439,2.9-3.3,.879
11,Dwyane Wade,MIA,62,31.8,21.5,8.2-17.5,.470,0.5-1.6,.284,4.6-6.0,.768
12,Rudy Gay,SAC,68,35.4,21.1,7.5-16.4,.455,1.2-3.2,.359,5.0-5.8,.858
13,Damian Lillard,POR,82,35.7,21.0,7.2-16.6,.434,2.4-7.0,.343,4.2-4.9,.864
14,DeMar DeRozan,TOR,60,35.0,20.1,6.8-16.5,.413,0.4-1.5,.284,6.0-7.2,.832
15,Jimmy Butler,CHI,65,38.7,20.0,6.5-14.0,.462,1.1-3.0,.378,5.9-7.1,.834
16,Nikola Vucevic,ORL,74,34.2,19.3,8.5-16.3,.523,0.0-0.1,.333,2.2-2.9,.752
17,Gordon Hayward,UTAH,76,34.4,19.3,6.4-14.3,.445,1.6-4.3,.364,4.9-6.1,.812
18,Chris Paul,LAC,82,34.8,19.1,6.9-14.3,.485,1.7-4.3,.398,3.5-3.9,.900
19,Monta Ellis,DAL,80,33.7,18.9,7.5-16.9,.445,1.0-3.6,.285,2.9-3.8,.752
20,Pau Gasol,CHI,78,34.4,18.5,7.3-14.8,.494,0.2-0.3,.462,3.8-4.7,.803
21,Victor Oladipo,ORL,72,35.7,17.9,6.6-15.1,.436,1.2-3.4,.339,3.6-4.4,.819
22,Kyle Lowry,TOR,70,34.5,17.8,6.1-14.9,.412,1.9-5.6,.338,3.6-4.5,.808
23,John Wall,WSH,79,35.9,17.6,6.6-14.8,.445,0.8-2.7,.300,3.6-4.6,.785
24,Marc Gasol,MEM,81,33.2,17.4,6.5-13.2,.494,0.0-0.2,.176,4.3-5.4,.795
25,Kemba Walker,CHA,62,34.2,17.3,6.1-15.8,.385,1.4-4.5,.304,3.8-4.6,.827
26,Dirk Nowitzki,DAL,77,29.6,17.3,6.3-13.8,.459,1.4-3.6,.380,3.3-3.8,.882
27,Brook Lopez,BKN,72,29.2,17.2,7.0-13.7,.513,0.0-0.1,.100,3.1-3.8,.814
28,Tobias Harris,ORL,68,34.8,17.1,6.5-14.0,.466,1.3-3.5,.364,2.8-3.6,.788
29,Eric Bledsoe,PHX,81,34.6,17.0,5.8-12.9,.447,1.1-3.4,.324,4.4-5.4,.800
30,Brandon Knight,MIL/PHX,63,32.3,17.0,6.0-14.1,.422,2.0-5.1,.389,3.1-3.5,.874
